type,M,T,W,TR,F
still,275.3,248.5,257.7,185.6,
still,275.3,248.9,258.1,185.2,
still,275.4,248.7,258.6,188.1,
still,275.7,248.4,259.2,188,
still,275.8,249.3,259.8,188.4,
still,275.8,249.1,260.3,188.9,
still,275.8,249.1,260.9,189.1,
still,276,249.1,261.3,190,
still,276.2,249.1,261.6,190.1,
still,276.4,249.6,262.1,190.7,
still,276.9,249.5,262.7,190.7,
still,276.7,249.4,263.4,191.7,
still,276.8,249.3,263.9,192.1,
still,276.9,249.1,264.4,192.2,
still,276.9,249.4,264.7,192.5,
still,276.9,249.1,265.6,193.2,
still,277.1,249.3,265.7,192.8,
still,277.3,249.3,266.4,193.5,
still,277.3,249.6,267,194.1,
still,277.4,249.9,267.4,194.6,
still,277.6,249.4,267.5,194.6,
still,277.7,249.3,268.1,195.3,
still,277.3,249.6,268,195.6,
still,278.4,249.3,268.4,195.5,
still,278.1,249.4,268.7,195.3,
still,278.5,249.6,269.2,195.6,
still,279.4,249.5,269.7,198.6,
still,279.2,249.3,270.2,204.6,
still,279.7,249.5,270.8,195.9,
still,279.8,249.4,271.2,176.2,
still,279.9,249.2,271.6,176.6,
still,279.8,249.3,271.9,176.7,
still,280.1,249.1,272.4,177.2,
still,280,249.5,272.6,177.2,
still,280.6,249,272.9,177.6,
still,280.6,249.3,273.3,177.8,
still,281,249.6,273.9,178.4,
still,280.9,248.9,274.3,178.7,
still,281.2,249.3,274.8,179.2,
still,281.2,249.5,275.1,180.4,
still,280.9,249.5,275.2,180.9,
still,281.5,249.4,275.6,181.1,
still,280.6,249.3,275.8,181.6,
still,281.3,249.1,276.3,181.9,
still,282,249.3,276.9,182,
still,281.1,249.3,276.9,182.6,
still,280.8,249.5,277.4,182.6,
still,281.6,249.3,277.8,182.9,
still,281.6,249.4,278.1,183.3,
still,281.9,249.2,278.4,183.6,
still,281.5,249.3,278.7,184.1,
still,281.8,249.3,279,184.6,
still,282.3,249.2,279.4,185,
still,281.8,249.2,279.5,185.4,
still,281.8,249.1,280.1,185.9,
still,,249.2,280.3,186.2,
still,,249.1,280.8,186.4,
still,,249.3,280.9,186.6,
still,,249.1,281.3,186.4,
still,,249.3,281.6,186.7,
still,,249.1,281.9,187,
still,,249.6,282.2,187.3,
still,,249.3,282.4,187.7,
still,,248.4,282.6,188.2,
still,,249.1,283.2,188.2,
still,,248.9,283.3,189.2,
still,,249.4,283.7,189.6,
still,,249.4,284.1,190.1,
still,,249,284.3,189.3,
still,,249.5,284.4,190.4,
still,,249.5,284.9,190.4,
still,,249.4,285,190.6,
still,,249.4,285.3,190.7,
still,,249.3,285.8,190.8,
still,,249.3,286,191.1,
still,,248.6,286.1,191.4,
still,,249.3,286.6,191.8,
still,,249.3,286.8,192,
still,,249.1,286.8,192.4,
still,,249.1,287.2,192.7,
still,,249.3,287.6,193.2,
still,,249.3,287.7,193.6,
still,,249.6,288.4,193.4,
still,,249.5,288.1,193.6,
still,,249.3,288.4,193.6,
still,,249.2,289.2,193.6,
still,,249.6,289.4,194,
still,,249.4,289.3,194.4,
still,,249.6,290.2,194.4,
still,,249.3,290.1,194.7,
still,,249.2,290.3,194.8,
still,,249.2,290.7,195,
still,,249.2,290.9,195.8,
still,,249.1,291.2,196.2,
still,,249,291.4,196.5,
still,,249.4,291.8,196.7,
still,,249.4,292.1,196.9,
still,,249.1,292.2,197,
still,,249.1,292.6,197.2,
still,,249.4,292.8,197.4,
still,,249.2,293,197.6,
still,,249.1,293.1,197.8,
still,,249.4,293.4,198.1,
still,,249.1,293.8,198.2,
still,,249.3,293.7,198.8,
still,,249.4,294,198.9,
still,,249.4,294.3,199,
still,,249.3,294.4,199.6,
still,,249.1,294.5,199.5,
still,,249.1,294.9,199.9,
still,,249.1,295,199,
still,,249.5,295.3,200.2,
still,,249.3,295.6,200.2,
still,,249.4,295.6,200.7,
still,,248.9,296.1,200.8,
still,,249.3,296.2,201.1,
still,,249.3,296.6,201.6,
still,,249.3,296.8,201.9,
still,,249,297,202,
still,,249.1,297.3,202.4,
still,,249.1,297.3,202.4,
still,,249.1,297.4,202.3,
still,,,297.9,202.5,
still,,,298.1,202.6,
still,,,298.5,202.7,
still,,,298.6,202.9,
still,,,298.8,203.2,
still,,,299,203.5,
still,,,299.1,203.7,
still,,,299.4,203.9,
still,,,299.8,204.4,
still,,,299.9,204.3,
still,,,300.2,204.4,
still,,,300.4,204.7,
still,,,300.5,204.9,
still,,,300.8,204.8,
still,,,300.9,205.1,
still,,,301.1,205.1,
still,,,301.3,205.9,
still,,,301.7,206.2,
still,,,301.9,206.5,
still,,,302,207.1,
still,,,302.2,207.1,
still,,,302.3,207.1,
