type,M,T,W,TR,F
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20,20.62,,,
still,20,20.62,,,
still,20,20.62,,,
still,20,20.62,,,
still,20,20.62,,,
still,20.06,20.69,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,20.06,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.56,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.69,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.69,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.56,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
still,,20.62,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.25,12.5,,,
flowing,12.25,12.5,,,
flowing,12.31,12.5,,,
flowing,12.31,12.5,,,
flowing,12.25,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.5,,,
flowing,12.31,12.44,,,
flowing,12.31,12.5,,,
flowing,12.25,12.44,,,
flowing,12.25,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.25,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.38,,,
flowing,12.31,12.38,,,
flowing,12.31,12.44,,,
flowing,12.31,12.44,,,
flowing,12.31,12.38,,,
flowing,12.31,12.44,,,
flowing,12.25,12.38,,,
flowing,12.31,12.38,,,
flowing,12.25,12.38,,,
flowing,12.25,12.44,,,
flowing,12.31,12.38,,,
flowing,12.31,12.38,,,
flowing,12.31,12.44,,,
flowing,12.25,12.38,,,
flowing,12.25,12.38,,,
flowing,12.31,12.38,,,
flowing,12.31,12.44,,,
flowing,12.25,12.38,,,
flowing,12.31,12.38,,,
flowing,12.31,12.38,,,
flowing,12.25,12.38,,,
flowing,,12.31,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.31,,,
flowing,,12.31,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.31,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.31,,,
flowing,,12.31,,,
flowing,,12.31,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.38,,,
flowing,,12.31,,,
flowing,,12.38,,,
flowing,,12.31,,,
flowing,,12.31,,,
flowing,,12.31,,,
flowing,,12.31,,,
flowing,,12.31,,,
flowing,,12.38,,,
flowing,,11.81,,,
flowing,,11.75,,,
flowing,,11.81,,,
flowing,,11.75,,,
flowing,,11.75,,,
flowing,,11.81,,,
