M,T,W,TR,F
275.3,209.4,250.8,269.1,280.8
275.3,209.7,250.9,269,280.5
275.4,209.7,251.1,269.2,280.9
275.7,209.6,251.2,269.1,280.8
275.8,209.5,251.2,269.1,280.9
275.8,209.8,251.3,269.1,280.8
275.8,209.8,251.3,269.2,280.9
276,210.2,251.2,269.2,280.8
276.2,210.4,250.8,269.2,280.8
276.4,210.4,250.8,269.4,280.9
276.9,210.6,251.1,269,280.9
276.7,210.7,250.9,269.4,280.6
276.8,210.7,251.1,269.2,281.1
276.9,210.6,251.2,269.3,280.9
276.9,210.7,251.4,269.3,280.9
276.9,211,251.6,269.3,280.8
277.1,211.1,251.5,269.3,280.9
277.3,211.2,251.5,269.4,280.9
277.3,211.2,251.4,269.4,281.1
277.4,211.2,251.3,269.3,281.1
277.6,211.6,251.2,269.4,281.3
277.7,211.6,251.4,269.5,281.1
277.3,211.5,251.3,269.5,281.3
278.4,211.4,250.7,269.3,281.2
278.1,211.7,251.5,269.6,281.3
278.5,211.8,251.7,269.5,281.2
279.4,212.4,251.6,269.4,281.4
279.2,212.4,251.9,269.6,281.1
279.7,212.4,251.9,269.6,281.1
279.8,212.2,251.8,269.5,281.4
279.9,212.4,251.6,269.7,281.3
279.8,212.2,251.5,269.6,281.1
280.1,212.2,251.6,269.6,281.3
280,212.4,251.3,269.6,281.4
280.6,212.4,251.6,269.7,281.4
280.6,212.8,251.8,269.8,281.3
281,212.9,252,269.5,281.1
280.9,213.1,251.9,269.6,281.1
281.2,213.1,251.9,269.4,281.3
281.2,213.2,253.6,269.7,281.2
280.9,212.8,252.1,269.7,281.1
281.5,213.2,252.1,269.6,281.3
280.6,213.2,252.4,269.5,281.3
281.3,213.3,252.2,269.6,281.4
282,214.4,251.8,269.6,281.3
281.1,213.1,251.7,269.6,281.4
280.8,214.1,252.1,269.6,281.4
281.6,214.1,252,269.7,281.4
281.6,214.4,252.2,269.7,281.1
281.9,214.2,252,269.8,281.4
281.5,214.2,251.9,269.7,281.3
281.8,214.1,252,269.8,281.8
282.3,214.1,251.8,269.6,281.4
281.8,214.2,251.8,269.8,281.4
281.8,214.1,252.1,269.8,281.6
248.5,214.3,252.2,269.7,281.3
248.9,214.6,252.4,269.6,281.6
248.7,214.6,252.1,269.8,281.8
248.4,214.6,252.2,269.8,281.5
249.3,214.6,251.8,269.7,281.6
249.1,214.9,251.9,269.9,281.7
249.1,214.6,251.9,270.1,281.6
249.1,214.9,252,269.9,281.7
249.1,214.9,252.1,270,281.7
249.6,215,252.3,269.9,281.8
249.5,214.9,252.2,270,281.7
249.4,215.2,252.8,270,281.6
249.3,214.9,252.4,270.1,281.5
249.1,215.6,252.1,270.1,281.6
249.4,215.6,252.1,270.1,281.6
249.1,215.8,252.1,270.1,281.5
249.3,215.6,252.1,270.1,281.6
249.3,215.6,252.2,270,281.8
249.6,215.8,252.2,270.1,281.8
249.9,215.6,252.4,270.1,281.6
249.4,215.6,252.5,270.1,281.7
249.3,216,252.4,270.1,281.8
249.6,216.7,252.4,270.2,281.6
249.3,216.8,252.1,270.2,281.7
249.4,216.3,252.2,270.2,281.9
249.6,216.3,252,270.3,281.7
249.5,216.1,252.4,270.2,281.7
249.3,216.5,252.6,270.1,281.8
249.5,216.4,252.7,270.3,281.8
249.4,216.4,252.6,270.4,281.8
249.2,216.5,252.6,270.2,281.9
249.3,217.2,252.4,270.4,281.8
249.1,217.3,252.4,270.2,281.9
249.5,217.4,252.3,270.4,281.7
249,219.1,252.4,270.3,281.9
249.3,216.1,252.8,270.3,282
249.6,216.2,253,270.4,281.6
248.9,217.1,252.8,270.4,281.8
249.3,218.1,252.9,270.3,281.9
249.5,216.7,252.6,270.5,281.9
249.5,217.2,252.5,270.5,281.8
249.4,217.5,252.6,270.5,281.7
249.3,217.7,252.8,270.6,281.9
249.1,217.6,253.1,270.4,282
249.3,217.4,253.1,270.4,282.2
249.3,217.9,253.4,270.4,282.1
249.5,217.5,253.2,270.4,281.9
249.3,217.9,253,270.3,281.9
249.4,218.1,252.7,270.6,281.9
249.2,218.3,252.9,270.6,282.1
249.3,219.6,252.9,270.5,281.9
249.3,218.2,253.3,270.6,282.1
249.2,218.2,253.3,270.6,281.8
249.2,218.4,253.6,270.6,281.9
249.1,218.6,253.3,270.5,282.1
249.2,218.6,253.3,270.7,282.2
249.1,218.4,253.1,270.8,282.1
249.3,218.2,253.2,270.6,282.1
249.1,218.5,253,270.5,282.1
249.3,218.4,253.2,270.8,282
249.1,218.7,253.3,270.7,282.1
249.6,219.1,253.4,270.6,282.2
249.3,219.2,253.6,270.8,282.3
248.4,219.2,253.4,270.9,282.1
249.1,219.1,253.2,270.8,282.3
248.9,219,253.3,270.9,282.2
249.4,219.1,253.2,270.8,281.9
249.4,219.2,253.3,270.9,282.2
249,219.2,253.4,271,282.1
249.5,219.3,253.4,270.9,282.2
249.5,219.4,253.6,270.9,282.1
249.4,219.7,253.6,271,282.3
249.4,219.8,253.7,270.9,282.1
249.3,219.9,253.4,270.9,282.1
249.3,219.7,253.4,270.9,282.3
248.6,219.6,253.4,270.9,282.1
249.3,219.7,253.6,271.2,282.1
249.3,220,253.9,270.9,282.3
249.1,220.1,253.9,270.9,282.1
249.1,220.4,253.9,271,282.3
249.3,220.4,253.9,270.9,282.4
249.3,220.4,253.9,271.1,282.3
249.6,220.1,253.8,271.1,282.4
249.5,220.2,253.8,271.1,282.3
249.3,220.2,253.6,271.1,282.3
249.2,220.3,253.8,271.1,282.3
249.6,220.6,254,271.1,282.5
249.4,220.6,254.1,270.9,282.5
249.6,221.1,254.3,271.3,282.3
249.3,221,254,271.1,282.3
249.2,220.7,254.1,271.2,282.6
249.2,220.9,253.9,271.1,282.4
249.2,220.7,253.9,271.2,282.4
249.1,220.5,253.9,271.1,282.3
249,220.7,253.9,271.1,282.4
249.4,221.3,254.2,271,282.1
249.4,221.3,253.9,271.2,282.3
249.1,221.5,254.1,271.1,282.5
249.1,221.2,254.2,271,282.7
249.4,221.2,254.2,271.2,282.8
249.2,221.4,254.2,271.1,282.4
249.1,221.3,254,271.2,282.8
249.4,221.5,254,271.3,282.5
249.1,221.7,253.8,271.3,282.4
249.3,222,254,271.3,282.4
249.4,221.9,254.1,271.2,282.5
249.4,221.7,254.1,271.4,282.6
249.3,221.7,254.4,271.4,282.5
249.1,221.7,254.4,271.2,282.4
249.1,221.6,254.4,271.4,282.7
249.1,222,254.2,271.4,282.3
249.5,222.2,254.1,271.4,282.6
249.3,222.3,254.1,271.4,282.4
249.4,222.3,254.2,271.4,282.4
248.9,222.2,254.2,271.4,282.5
249.3,222.1,254.4,271.4,282.6
249.3,222.2,254.6,271.6,282.7
249.3,222.2,254.6,271.6,282.4
249,222.4,254.8,271.4,282.8
249.1,222.8,254.7,271.7,282.8
249.1,223.1,254.4,271.6,282.9
249.1,222.5,254.4,271.5,282.7
380.1,222.6,254.2,271.5,282.6
382.4,222.5,254.5,271.6,282.6
384.9,222.6,254.6,271.7,282.6
386.8,222.9,254.8,271.7,282.6
388.6,223.2,254.9,271.6,282.6
390.2,223.1,255,271.5,282.6
391.4,223.4,254.9,271.8,282.4
392.8,223.5,254.9,271.6,282.6
394.5,223.3,255.1,271.6,282.7
396.1,223.8,254.8,271.7,282.9
397.3,223.4,254.9,271.5,282.6
398.5,223.6,254.8,271.7,282.9
400,223.7,254.8,271.6,282.8
401.1,223.8,254.8,271.7,282.8
401.7,223.9,254.8,271.6,282.7
402.8,223.9,254.8,271.6,282.6
403.8,223.9,255,271.6,282.7
404.6,224.2,255,271.8,282.7
405.8,223.9,255.4,271.7,282.8
406.8,223.2,255.2,271.6,282.8
407.6,223.6,255.4,271.8,282.9
408.6,223.7,255.1,271.9,282.9
409.7,223.8,255.1,271.8,282.8
410.5,224.9,255,271.9,282.9
411.3,224.3,254.9,271.9,283.1
412.3,224.6,255.1,271.9,282.9
413.1,224.7,255.2,271.8,283.1
413.8,224.6,255.3,271.8,283.1
414.2,224.4,255.3,272.1,283.1
415.1,224.4,255.6,272,283.1
416.3,224.2,255.5,271.9,283.1
416.7,224.6,255.2,272.1,283.1
416.9,224.4,255.1,272.1,283.1
417.4,224.3,255.2,272,282.9
418.4,225.1,255.2,272.1,283
418.9,225.1,255.4,272.2,282.9
419.2,224.9,255.6,272.1,282.8
419.9,225.1,255.8,272.1,283.2
420.4,224.9,255.7,272.1,283.3
421.2,224.9,255.5,272.1,283.1
422,224.9,255.4,272,282.9
422.3,224.9,255.2,272,283.3
422.8,225,255.2,272.1,283.1
422.7,225.1,255.4,272.3,283.1
423.1,225.5,255.6,272.1,283.1
423.1,225.7,255.9,272.1,283.4
424.2,225.5,255.9,272.1,283.4
424.8,225.6,255.8,272.1,283.3
425,225.4,255.6,272.1,283.4
425.9,225.6,255.5,272.2,283.6
425.9,225.6,255.5,272.2,283.2
426.8,225.2,255.7,272.3,283.2
427.1,225.7,255.6,272.1,283.3
427.8,225.8,255.9,272.3,283.2
428.9,225.9,256.1,272.3,283.1
429.6,226.4,256.1,272.4,283.1
429.7,225.6,256,272,283.4
429.9,225.4,256,272.3,283.1
430.5,226.1,255.8,272.1,283.3
430.8,225.9,255.9,272.2,283.2
430.9,226.1,255.8,272.4,283.6
431.8,226.1,255.9,272.3,283.3
431.9,226.2,256.3,272.4,283.3
432.7,226.2,256.4,272.4,283.6
433,226.7,256.2,272.3,283.3
433.5,226.2,256.3,272.4,283.1
434,227.2,256,272.4,283.2
434.1,226.4,255.9,272.4,283.3
434.4,226.3,255.9,272.2,283.4
434.9,226.4,256,272.4,283.4
436.2,226.2,256.2,272.5,283.4
434.5,226.6,256.5,272.4,283.3
435.7,226.7,256.6,272.4,283.4
436.6,226.7,256.5,272.4,283.4
437.1,226.9,256.2,272.7,283.3
437.5,227,255.9,272.6,283.4
438,227.1,256,272.6,283.5
438.3,226.8,255.9,272.6,283.4
438.6,227.1,256,272.6,283.6
439.6,227.1,256.3,272.7,283.4
439.6,227.4,256.4,272.7,283.4
439.8,226.8,256.5,272.6,283.3
440.2,228.4,256.6,272.8,283.3
440.4,227.5,256.5,272.6,283.4
440.6,227.7,256.3,272.5,283.4
440.8,227.6,256.2,272.5,283.5
442.1,227.7,256.3,272.6,283.6
441.2,227.3,256.3,272.6,283.5
442,227.3,256.5,272.6,283.4
442.6,227.3,256.5,272.6,283.5
442.7,227.6,256.7,272.4,283.7
442.8,227.7,256.8,272.7,283.4
442.4,226.8,256.6,272.4,283.3
442.9,227.8,256.7,272.4,283.3
444.3,228.2,256.5,272.6,283.4
443.7,228.1,256.4,272.6,283.4
444.1,228,256.4,272.7,283.5
444.3,228,256.5,272.5,283.5
444.9,228,256.7,272.6,283.6
445.8,227.9,256.8,272.4,283.6
445.7,228.1,256.9,272.8,283.6
446.4,228.6,257.1,272.9,283.6
446.1,228.4,256.8,272.8,283.8
447.1,227.9,256.7,272.7,283.8
446.9,228.5,256.6,272.4,283.9
447.2,228.4,256.5,272.7,283.7
447.5,228.7,256.6,272.6,283.8
447.6,228.6,256.5,272.8,283.6
448.1,228.5,256.8,272.8,283.8
422.6,228.5,257,272.5,283.5
423,228.4,256.9,272.8,284.1
424.7,228.8,257,272.9,283.8
425.4,228.6,257.1,272.6,283.8
426.3,228.7,256.9,272.9,284
429.3,228.7,256.7,272.8,283.7
257.7,228.7,256.8,272.9,283.9
258.1,228.9,256.9,272.8,283.8
258.6,229.1,257.1,272.9,283.9
259.2,229,257,273.1,283.7
259.8,228.9,257.2,272.9,283.5
260.3,228.5,257.3,273.1,283.9
260.9,228.7,257.5,273.2,283.8
261.3,228.7,257.2,273.1,284.1
261.6,228.9,257,273,283.9
262.1,229.1,256.9,272.9,283.8
262.7,229.4,256.9,273.2,283.9
263.4,229.3,256.9,273.2,283.9
